IP,SERVERNAME,CPUs,CPU SPEED,UPTIME,LOAD AVERAGE,TOTAL MEMORY,USED MEMORY,FREE MEMORY
192.168.1.15 172.17.0.1 ,PageBreak2024, 2,0.139,up , 1.34,13Gi,6.7Gi,3.7Gi
,,,,,,,,
